item_desc,item_code,gst_rate,item_category_1,item_category_2,Srl_no,duration,comments
rice-PDS,101,0,cereal,cereal,,monthly,
rice - Other sources,102,0,cereal,cereal,,monthly,
chira,103,0,cereal,cereal,,monthly,
"khoi, lawa",104,0,cereal,cereal,,monthly,
muri,105,0,cereal,cereal,,monthly,
other rice products,106,5,cereal,cereal,,monthly,
wheat/atta - PDS,107,0,cereal,cereal,,monthly,
wheat/atta other sources,108,0,cereal,cereal,,monthly,
maida,110,0,cereal,cereal,,monthly,
"suji, rawa",111,0,cereal,cereal,,monthly,
"sewai, noodles",112,12,cereal,cereal,,monthly,
bread (bakery),113,5,cereal,cereal,,monthly,
other wheat products,114,5,cereal,cereal,,monthly,
jowar & its products,115,5,cereal,cereal,,monthly,
bajra & its products,116,5,cereal,cereal,,monthly,
maize & products,117,5,cereal,cereal,,monthly,
barley & its products,118,5,cereal,cereal,,monthly,
small millets & their products,120,5,cereal,cereal,,monthly,
ragi & its products,121,5,cereal,cereal,,monthly,
other cereals,122,0,cereal,cereal,,monthly,
sub-total: cereal ,129,,sub-total: cereal,sub-total: cereal,1,monthly,
cereal substitutes,139A,0,cereal_sub,cereal_sub,,monthly,dummy record created for uniformity
"sub-total: cereal substitutes tapioca, etc. ",139,,sub-total: cereal_sub,sub-total: cereal_sub,2,monthly,
"arhar, tur",140,0,pulses,pulses,,monthly,
gram: split,141,0,pulses,pulses,,monthly,
gram: whole,142,0,pulses,pulses,,monthly,
moong,143,0,pulses,pulses,,monthly,
masur,144,0,pulses,pulses,,monthly,
urd,145,0,pulses,pulses,,monthly,
peas,146,0,pulses,pulses,,monthly,
khesari,147,0,pulses,pulses,,monthly,
other pulses,148,0,pulses,pulses,,monthly,
gram products,150,12,pulses,pulses,,monthly,
besan,151,5,pulses,pulses,,monthly,
other pulse products,152,0,pulses,pulses,,monthly,
sub-total: pulses & pulse products ,159,,sub-total: pulses,sub-total: pulses,3,monthly,
milk: liquid (litre),160,0,milk_prod,milk_prod,,monthly,
baby food,161,5,milk_prod,milk_prod,,monthly,
milk: condensed/powder,162,12,milk_prod,milk_prod,,monthly,
