,HHID,HH_Size,URBAN,District,State_code,Combined_multiplier
0,715581201,5,0,01,17,324.08
1,715581202,2,0,01,17,324.08
2,715581203,2,0,01,17,324.08
3,715581204,1,0,01,17,324.08
4,715581301,6,0,01,17,324.08
5,715581302,6,0,01,17,324.08
6,715581303,7,0,01,17,324.08
7,715581304,4,0,01,17,324.08
8,715391101,7,0,01,17,188.96
9,715391102,7,0,01,17,188.96
10,715391201,11,0,01,17,173.21
11,715391202,11,0,01,17,173.21
12,715391203,4,0,01,17,173.21
13,715391204,5,0,01,17,173.21
14,715391301,5,0,01,17,944.78
15,715391302,7,0,01,17,944.78
16,715371101,5,0,01,17,144.28
17,715371102,5,0,01,17,144.28
18,715371201,7,0,01,17,57.71
19,715371202,8,0,01,17,57.71
20,715371203,5,0,01,17,57.71
21,715371204,5,0,01,17,57.71
22,715371301,4,0,01,17,1962.15
23,715371302,5,0,01,17,1962.15
24,715341101,4,0,01,17,199.91
25,715341102,6,0,01,17,199.91
26,715341201,6,0,01,17,566.39
27,715341202,3,0,01,17,566.39
28,715341203,7,0,01,17,566.39
29,715341204,5,0,01,17,566.39
30,715341301,4,0,01,17,1377.11
31,715341302,6,0,01,17,1377.11
32,715311101,7,0,01,17,115.77
33,715311102,5,0,01,17,115.77
34,715311201,4,0,01,17,300.99
35,715311202,8,0,01,17,300.99
36,715311203,6,0,01,17,300.99
37,715311204,4,0,01,17,300.99
38,715311301,3,0,01,17,972.41
39,715311302,2,0,01,17,972.41
40,715321101,7,0,01,17,118.94
41,715321201,8,0,01,17,127.43
42,715321202,7,0,01,17,127.43
43,715321301,7,0,01,17,662.64
44,715322101,7,0,01,17,356.8
45,715322201,7,0,01,17,356.8
46,715322202,7,0,01,17,356.8
47,715322301,7,0,01,17,1784.01
48,715361101,5,0,02,17,379.01
49,715361102,8,0,02,17,379.01
50,715361201,4,0,02,17,246.36
51,715361202,9,0,02,17,246.36
52,715361203,4,0,02,17,246.36
53,715361204,10,0,02,17,246.36
54,715361301,4,0,02,17,1743.42
55,715361302,3,0,02,17,1743.42
56,715351101,5,0,02,17,90.59
57,715351102,7,0,02,17,90.59
58,715351201,6,0,02,17,60.39
59,715351202,4,0,02,17,60.39
60,715351203,3,0,02,17,60.39
61,715351204,5,0,02,17,60.39
62,715351301,7,0,02,17,634.1
63,715351302,8,0,02,17,634.1
64,715331101,6,0,02,17,105.18
65,715331102,6,0,02,17,105.18
66,715331201,4,0,02,17,142.75
67,715331202,7,0,02,17,142.75
68,715331203,3,0,02,17,142.75
69,715331204,5,0,02,17,142.75
70,715331301,4,0,02,17,661.14
71,715331302,5,0,02,17,661.14
72,715301101,6,0,03,17,146.46
73,715301102,5,0,03,17,146.46
74,715301201,7,0,03,17,91.54
75,715301202,3,0,03,17,91.54
76,715301203,5,0,03,17,91.54
77,715301204,6,0,03,17,91.54
78,715301301,5,0,03,17,951.96
79,715301302,5,0,03,17,951.96
80,715381101,6,0,03,17,106.58
81,715381102,2,0,03,17,106.58
82,715381201,3,0,03,17,415.66
83,715381202,4,0,03,17,415.66
84,715381203,4,0,03,17,415.66
